EC_key	rows	file
2.1.1.226	3	MT_uniprot_EC_2.1.1.226.tsv
2.1.1.230	3	MT_uniprot_EC_2.1.1.230.tsv
2.1.1.277	3	MT_uniprot_EC_2.1.1.277.tsv
2.1.1.293	3	MT_uniprot_EC_2.1.1.293.tsv
2.1.1.7	3	MT_uniprot_EC_2.1.1.7.tsv
3.1.1.1	3	MT_uniprot_EC_3.1.1.1.tsv
3.1.21.4	3	MT_uniprot_EC_3.1.21.4.tsv
1.21.3.10	2	MT_uniprot_EC_1.21.3.10.tsv
2.1.1.110	2	MT_uniprot_EC_2.1.1.110.tsv
2.1.1.122	2	MT_uniprot_EC_2.1.1.122.tsv
2.1.1.127	2	MT_uniprot_EC_2.1.1.127.tsv
2.1.1.140	2	MT_uniprot_EC_2.1.1.140.tsv
2.1.1.141	2	MT_uniprot_EC_2.1.1.141.tsv
2.1.1.145	2	MT_uniprot_EC_2.1.1.145.tsv
2.1.1.151	2	MT_uniprot_EC_2.1.1.151.tsv
2.1.1.154	2	MT_uniprot_EC_2.1.1.154.tsv
2.1.1.210	2	MT_uniprot_EC_2.1.1.210.tsv
2.1.1.219	2	MT_uniprot_EC_2.1.1.219.tsv
2.1.1.227	2	MT_uniprot_EC_2.1.1.227.tsv
2.1.1.243	2	MT_uniprot_EC_2.1.1.243.tsv
2.1.1.259	2	MT_uniprot_EC_2.1.1.259.tsv
2.1.1.262	2	MT_uniprot_EC_2.1.1.262.tsv
2.1.1.266	2	MT_uniprot_EC_2.1.1.266.tsv
2.1.1.267	2	MT_uniprot_EC_2.1.1.267.tsv
2.1.1.27	2	MT_uniprot_EC_2.1.1.27.tsv
2.1.1.270	2	MT_uniprot_EC_2.1.1.270.tsv
2.1.1.278	2	MT_uniprot_EC_2.1.1.278.tsv
2.1.1.283	2	MT_uniprot_EC_2.1.1.283.tsv
2.1.1.287	2	MT_uniprot_EC_2.1.1.287.tsv
2.1.1.288	2	MT_uniprot_EC_2.1.1.288.tsv
2.1.1.292	2	MT_uniprot_EC_2.1.1.292.tsv
2.1.1.294	2	MT_uniprot_EC_2.1.1.294.tsv
2.1.1.309	2	MT_uniprot_EC_2.1.1.309.tsv
2.1.1.325	2	MT_uniprot_EC_2.1.1.325.tsv
2.1.1.338	2	MT_uniprot_EC_2.1.1.338.tsv
2.1.1.345	2	MT_uniprot_EC_2.1.1.345.tsv
2.1.1.368	2	MT_uniprot_EC_2.1.1.368.tsv
2.1.1.370	2	MT_uniprot_EC_2.1.1.370.tsv
2.1.1.371	2	MT_uniprot_EC_2.1.1.371.tsv
2.1.1.379	2	MT_uniprot_EC_2.1.1.379.tsv
2.1.1.395	2	MT_uniprot_EC_2.1.1.395.tsv
2.1.1.396	2	MT_uniprot_EC_2.1.1.396.tsv
2.1.1.76	2	MT_uniprot_EC_2.1.1.76.tsv
2.1.1.82	2	MT_uniprot_EC_2.1.1.82.tsv
2.1.1.89	2	MT_uniprot_EC_2.1.1.89.tsv
2.1.1.95	2	MT_uniprot_EC_2.1.1.95.tsv
2.5.1.114	2	MT_uniprot_EC_2.5.1.114.tsv
2.7.1.181	2	MT_uniprot_EC_2.7.1.181.tsv
1.5.1.20	1	MT_uniprot_EC_1.5.1.20.tsv
2.1.1.101	1	MT_uniprot_EC_2.1.1.101.tsv
2.1.1.102	1	MT_uniprot_EC_2.1.1.102.tsv
2.1.1.106	1	MT_uniprot_EC_2.1.1.106.tsv
2.1.1.111	1	MT_uniprot_EC_2.1.1.111.tsv
2.1.1.118	1	MT_uniprot_EC_2.1.1.118.tsv
2.1.1.129	1	MT_uniprot_EC_2.1.1.129.tsv
2.1.1.136	1	MT_uniprot_EC_2.1.1.136.tsv
2.1.1.152	1	MT_uniprot_EC_2.1.1.152.tsv
2.1.1.161	1	MT_uniprot_EC_2.1.1.161.tsv
2.1.1.164	1	MT_uniprot_EC_2.1.1.164.tsv
2.1.1.167	1	MT_uniprot_EC_2.1.1.167.tsv
2.1.1.168	1	MT_uniprot_EC_2.1.1.168.tsv
2.1.1.169	1	MT_uniprot_EC_2.1.1.169.tsv
2.1.1.187	1	MT_uniprot_EC_2.1.1.187.tsv
2.1.1.188	1	MT_uniprot_EC_2.1.1.188.tsv
2.1.1.202	1	MT_uniprot_EC_2.1.1.202.tsv
2.1.1.208	1	MT_uniprot_EC_2.1.1.208.tsv
2.1.1.209	1	MT_uniprot_EC_2.1.1.209.tsv
2.1.1.215	1	MT_uniprot_EC_2.1.1.215.tsv
2.1.1.217	1	MT_uniprot_EC_2.1.1.217.tsv
2.1.1.231	1	MT_uniprot_EC_2.1.1.231.tsv
2.1.1.234	1	MT_uniprot_EC_2.1.1.234.tsv
